num,category,method_name,description,output_pattern
1,collaboration,Table Ronde des Parties Prenantes,Réunir plusieurs personas pour apporter des perspectives diverses - essentiel pour le recueil des besoins et trouver des solutions équilibrées entre des intérêts divergents,perspectives → synthèse → alignement
2,collaboration,Revue par un Panel d'Experts,Rassembler des experts du domaine pour une analyse spécialisée approfondie - idéal lorsque la profondeur technique et la qualité de la revue par les pairs sont nécessaires,avis d'experts → consensus → recommandations
3,collaboration,Affrontement type Club de Débat,Deux personas défendent des positions opposées pendant qu'un modérateur compte les points - excellent pour explorer des décisions controversées et trouver un terrain d'entente,thèse → antithèse → synthèse
4,collaboration,Focus Group de Personas Utilisateurs,Rassembler les personas utilisateurs de votre produit pour réagir aux propositions et partager leurs frustrations - essentiel pour valider les fonctionnalités et découvrir des besoins non satisfaits,réactions → préoccupations → priorités
5,collaboration,Conseil des Voyageurs Temporels,Le vous-du-passé et le vous-du-futur conseillent le vous-du-présent sur les décisions - puissant pour prendre du recul sur les conséquences à long terme face aux pressions à court terme,sagesse passée → choix présent → impact futur
6,collaboration,War Room Interfonctionnelle,Chef de produit + ingénieur + designer s'attaquent ensemble à un problème - révèle les compromis entre faisabilité désirabilité et viabilité,contraintes → compromis → solution équilibrée
7,collaboration,Mentor et Apprenti,Un expert senior enseigne à un junior pendant que le junior pose des questions naïves - fait ressortir les hypothèses cachées par l'enseignement,explication → questions → compréhension plus profonde
8,collaboration,Bon Flic Mauvais Flic,Un persona soutenant et un persona critique alternent - trouve à la fois les forces sur lesquelles s'appuyer et les faiblesses à corriger,encouragement → critique → vue équilibrée
9,collaboration,Improvisation Oui-Et,Plusieurs personas construisent sur les idées des autres sans bloquer - génère des directions créatives inattendues grâce à la construction collaborative,idée → construction → construction → résultat surprenant
10,collaboration,Théâtre du Support Client,Un client en colère et un représentant du support font un jeu de rôle pour trouver les points de douleur - révèle les vraies frustrations des utilisateurs et les lacunes du service,plainte → investigation → résolution → prévention
11,advanced,Arbre de Pensées (Tree of Thoughts),Explorer plusieurs chemins de raisonnement simultanément puis évaluer et sélectionner le meilleur - parfait pour les problèmes complexes avec plusieurs approches valides,chemins → évaluation → sélection
12,advanced,Graphe de Pensées (Graph of Thoughts),Modéliser le raisonnement comme un réseau d'idées interconnectées pour révéler des relations cachées - idéal pour la pensée systémique et la découverte de modèles émergents,nœuds → connexions → modèles
13,advanced,Fil de Pensée (Thread of Thought),Maintenir un raisonnement cohérent sur de longs contextes en tissant un fil narratif continu - essentiel pour les systèmes RAG et le maintien de la cohérence,contexte → fil → synthèse
14,advanced,Validation par Auto-Cohérence,Générer plusieurs approches indépendantes puis comparer pour vérifier la cohérence - crucial pour les décisions à forts enjeux où la vérification compte,approches → comparaison → consensus
15,advanced,Analyse de Méta-Prompting,Prendre du recul pour analyser la structure de l'approche et la méthodologie elle-même - précieux pour optimiser les prompts et améliorer la résolution de problèmes,actuel → analyse → optimisation
16,advanced,Raisonnement par Planification,Construire un arbre de raisonnement guidé par des modèles du monde et des états cibles - excellent pour la planification stratégique et la prise de décision séquentielle,modèle → planification → stratégie
17,competitive,Red Team vs Blue Team,Analyse attaque-défense contradictoire pour trouver les vulnérabilités - critique pour les tests de sécurité et la construction de solutions robustes,défense → attaque → renforcement
18,competitive,Pitch façon Shark Tank,Un entrepreneur fait un pitch à des investisseurs sceptiques qui cherchent les failles - teste la viabilité commerciale et force la clarté sur la proposition de valeur,pitch → défis → raffinement
19,competitive,Épreuve de Revue de Code,Des développeurs seniors avec des philosophies différentes revoient le même code - fait ressortir les débats de style et trouve un consensus sur les meilleures pratiques,revues → débats → standards
20,technical,Registres de Décisions d'Architecture (ADR),Plusieurs personas d'architectes proposent et débattent des choix architecturaux avec des compromis explicites - garantit que les décisions sont bien raisonnées et documentées,options → compromis → décision → justification
21,technical,Débogage du Canard en Plastique Évolué,Expliquer votre code à des canards progressivement plus techniques jusqu'à ce que vous trouviez le bug - force la clarté à plusieurs niveaux d'abstraction,simple → détaillé → technique → eurêka
22,technical,Olympiades des Algorithmes,Plusieurs approches s'affrontent sur le même problème avec des benchmarks - trouve la solution optimale par comparaison directe,implémentations → benchmarks → gagnant
23,technical,Personas d'Audit de Sécurité,Hacker + défenseur + auditeur examinent le système sous différents modèles de menace - revue de sécurité complète sous plusieurs angles,vulnérabilités → défenses → conformité
24,technical,Panel de Profilers de Performance,Expert base de données + spécialiste frontend + ingénieur DevOps diagnostiquent la lenteur - trouve les goulots d'étranglement sur toute la stack,symptômes → analyse → optimisations
25,creative,Méthode SCAMPER,Appliquer sept prismes de créativité (Substituer/Combiner/Adapter/Modifier/Produire/Éliminer/Renverser) - idéation systématique pour l'innovation produit,S→C→A→M→P→E→R
26,creative,Rétro-ingénierie,Travailler à l'envers depuis le résultat souhaité pour trouver le chemin d'implémentation - puissant pour l'atteinte d'objectifs et la compréhension des points finaux,état final → étapes en arrière → chemin à suivre
27,creative,Scénarios Et Si,Explorer des réalités alternatives pour comprendre les possibilités et les implications - précieux pour la planification d'urgence et l'exploration,scénarios → implications → insights
28,creative,Stimulus d'Entrée Aléatoire,Injecter des concepts non liés pour susciter des connexions inattendues - brise les blocages créatifs par la pensée latérale forcée,mot aléatoire → associations → idées nouvelles
29,creative,Brainstorming Cadavre Exquis,Chaque persona ajoute à l'idée en ne voyant que la contribution précédente - génère des combinaisons surprenantes grâce à la collaboration sous contrainte,contribution → transfert → contribution → surprise
30,creative,Mélange des Genres,Combiner deux domaines non liés pour trouver de nouvelles approches - innovation par pollinisation croisée inattendue,domaine A + domaine B → insights hybrides
31,research,Personas de Revue de Littérature,Chercheur optimiste + chercheur sceptique + synthétiseur revoient les sources - évaluation équilibrée de la qualité des preuves,sources → critiques → synthèse
32,research,Simulation de Soutenance de Thèse,L'étudiant défend son hypothèse face à un comité avec différentes préoccupations - teste la méthodologie de recherche et les conclusions,thèse → défis → soutenance → raffinements
33,research,Matrice d'Analyse Comparative,Plusieurs analystes évaluent les options selon des critères pondérés - prise de décision structurée avec notation explicite,options → critères → scores → recommandation
34,risk,Analyse Pre-mortem,Imaginer un échec futur puis travailler à l'envers pour le prévenir - technique puissante pour l'atténuation des risques avant les lancements majeurs,scénario d'échec → causes → prévention
35,risk,Analyse des Modes de Défaillance,Explorer systématiquement comment chaque composant pourrait échouer - critique pour l'ingénierie de fiabilité et les systèmes critiques pour la sécurité,composants → défaillances → prévention
36,risk,Défi depuis une Perspective Critique,Jouer l'avocat du diable pour tester les idées et trouver les faiblesses - essentiel pour surmonter la pensée de groupe,hypothèses → défis → renforcement
37,risk,Identifier les Risques Potentiels,Faire un brainstorming sur ce qui pourrait mal tourner dans toutes les catégories - fondamental pour la planification de projet et la préparation au déploiement,catégories → risques → atténuations
38,risk,Scénarios Chaos Monkey,Casser délibérément les choses pour tester la résilience et la récupération - garantit que les systèmes gèrent les pannes avec élégance,casser → observer → renforcer
39,core,Analyse des Premiers Principes,Éliminer les hypothèses pour reconstruire à partir de vérités fondamentales - technique de percée pour l'innovation et la résolution de problèmes impossibles,hypothèses → vérités → nouvelle approche
40,core,Plongée des 5 Pourquoi,Demander pourquoi à plusieurs reprises pour remonter aux causes profondes - simple mais puissant pour comprendre les échecs,chaîne de pourquoi → cause profonde → solution
41,core,Questionnement Socratique,Utiliser des questions ciblées pour révéler des hypothèses cachées et guider la découverte - excellent pour l'enseignement et la découverte de soi,questions → révélations → compréhension
42,core,Critique et Raffinement,Revue systématique pour identifier les forces et faiblesses puis améliorer - contrôle qualité standard pour les brouillons,forces/faiblesses → améliorations → raffiné
43,core,Expliquer le Raisonnement,Détailler la réflexion étape par étape pour montrer comment les conclusions ont été atteintes - crucial pour la transparence,étapes → logique → conclusion
44,core,Développer ou Contracter pour l'Audience,Ajuster dynamiquement le niveau de détail et la profondeur technique pour le public cible - adapte le contenu aux capacités du lecteur,audience → ajustements → contenu raffiné
45,learning,Technique Feynman,Expliquer des concepts complexes simplement comme si on enseignait à un enfant - le test ultime de la véritable compréhension,complexe → simple → lacunes → maîtrise
46,learning,Test de Rappel Actif,Tester la compréhension sans références pour vérifier les véritables connaissances - essentiel pour identifier les lacunes,test → lacunes → renforcement
47,philosophical,Application du Rasoir d'Ockham,Trouver l'explication suffisante la plus simple en éliminant la complexité inutile - essentiel pour le débogage,options → simplification → sélection
48,philosophical,Variations du Problème du Tramway,Explorer les compromis éthiques à travers des dilemmes moraux - précieux pour comprendre les valeurs et les décisions difficiles,dilemme → analyse → décision
49,retrospective,Réflexion Rétrospective,Imaginer regarder en arrière depuis le futur pour prendre du recul - puissant pour les revues de projet,vue future → insights → application
50,retrospective,Extraction des Leçons Apprises,Identifier systématiquement les points clés à retenir et les améliorations actionnables - essentiel pour l'amélioration continue,expérience → leçons → actions