module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
bmm,anytime,Documenter le projet,DP,,skill:bmad-document-project,bmad-bmm-document-project,false,analyst,Create Mode,"Analyser un projet existant pour produire une documentation utile",project-knowledge,*,
bmm,anytime,Générer le contexte du projet,GPC,,skill:bmad-generate-project-context,bmad-bmm-generate-project-context,false,analyst,Create Mode,"Scanner la base de code existante pour générer un project-context.md lean optimisé pour les LLM contenant les règles d'implémentation critiques les patterns et les conventions pour les agents IA. Essentiel pour les projets brownfield et le quick-flow.",output_folder,"project context",
bmm,anytime,Spec Rapide,QS,,skill:bmad-quick-spec,bmad-bmm-quick-spec,false,quick-flow-solo-dev,Create Mode,"Ne pas suggérer pour des choses potentiellement très complexes à moins que cela ne soit demandé ou si l'utilisateur se plaint de ne pas vouloir suivre la planification extensive de la méthode bmad. Tâches rapides ponctuelles petits changements applications simples ajouts brownfield à des patterns bien établis utilitaires sans planification extensive",planning_artifacts,"tech spec",
bmm,anytime,Développement Quick Flow,QD,,skill:bmad-quick-dev,bmad-bmm-quick-dev,false,quick-flow-solo-dev,Create Mode,"Tâches rapides ponctuelles petits changements applications simples utilitaires sans planification extensive - Ne pas suggérer pour des choses potentiellement très complexes à moins que cela ne soit demandé ou si l'utilisateur se plaint de ne pas vouloir suivre la planification extensive de la méthode bmad, à moins que l'utilisateur ne travaille déjà dans la phase d'implémentation et demande juste une tâche ponctuelle non prévue dans le plan",,,
bmm,anytime,Quick Dev Nouveau (Preview),QQ,,skill:bmad-quick-dev-new-preview,bmad-bmm-quick-dev-new-preview,false,quick-flow-solo-dev,Create Mode,"Flux rapide unifié (expérimental) : clarifier l'intention planifier implémenter reviewer et présenter en un seul workflow",implementation_artifacts,"tech spec implementation",
bmm,anytime,Changement de cap,CC,,skill:bmad-correct-course,bmad-bmm-correct-course,false,sm,Create Mode,"À tout moment : Naviguer dans des changements significatifs. Peut recommander de recommencer de mettre à jour le cahier des charges de refaire l'architecture la planification de sprint ou de corriger les thèmes/epics et cas d'usage",planning_artifacts,"change proposal",
bmm,anytime,Rédiger un document,WD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Décrivez en détail ce que vous voulez, et l'agent suivra les meilleures pratiques de documentation définies dans la mémoire de l'agent. Conversation multi-tours avec sous-processus pour la recherche/revue.",project-knowledge,"document",
bmm,anytime,Mettre à jour les standards,US,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Mettre à jour la mémoire de l'agent documentation-standards.md avec vos préférences spécifiques si vous découvrez des conventions de document manquantes.",_bmad/_memory/tech-writer-sidecar,"standards",
bmm,anytime,Générer Mermaid,MG,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Créer un diagramme Mermaid basé sur la description utilisateur. Suggérera des types de diagrammes si non spécifié.",planning_artifacts,"mermaid diagram",
bmm,anytime,Valider le document,VD,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Reviewer le document spécifié contre les standards de documentation et les meilleures pratiques. Retourne des suggestions d'amélioration spécifiques et actionnables organisées par priorité.",planning_artifacts,"validation report",
bmm,anytime,Expliquer un concept,EC,,_bmad/bmm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Créer des explications techniques claires avec exemples et diagrammes pour des concepts complexes. Décompose en sections digestes en utilisant une approche orientée tâches.",project_knowledge,"explanation",
bmm,1-analysis,Brainstorming,BP,10,skill:bmad-brainstorming,bmad-brainstorming,false,analyst,data=_bmad/bmm/data/project-context-template.md,"Facilitation experte guidée à travers une ou plusieurs techniques",planning_artifacts,"brainstorming session",
bmm,1-analysis,Recherche de marché,MR,20,skill:bmad-market-research,bmad-bmm-market-research,false,analyst,Create Mode,"Analyse de marché paysage concurrentiel besoins clients et tendances","planning_artifacts|project-knowledge","research documents",
bmm,1-analysis,Recherche de domaine,DR,21,skill:bmad-domain-research,bmad-bmm-domain-research,false,analyst,Create Mode,"Plongée approfondie dans le domaine industriel expertise métier et terminologie","planning_artifacts|project_knowledge","research documents",
bmm,1-analysis,Recherche technique,TR,22,skill:bmad-technical-research,bmad-bmm-technical-research,false,analyst,Create Mode,"Faisabilité technique options d'architecture et approches d'implémentation","planning_artifacts|project_knowledge","research documents",
bmm,1-analysis,Créer le brief,CB,30,skill:bmad-create-product-brief,bmad-bmm-create-product-brief,false,analyst,Create Mode,"Une expérience guidée pour consolider votre idée de produit",planning_artifacts,"product brief",
bmm,2-planning,Rédiger le cahier des charges,CP,10,skill:bmad-create-prd,bmad-bmm-create-prd,true,pm,Create Mode,"Facilitation dirigée par un expert pour produire votre cahier des charges produit",planning_artifacts,prd,
bmm,2-planning,Valider le cahier des charges,VP,20,skill:bmad-validate-prd,bmad-bmm-validate-prd,false,pm,Validate Mode,"Valider que le cahier des charges est complet lean bien organisé et cohérent",planning_artifacts,"prd validation report",
bmm,2-planning,Modifier le cahier des charges,EP,25,skill:bmad-edit-prd,bmad-bmm-edit-prd,false,pm,Edit Mode,"Améliorer et enrichir un cahier des charges existant",planning_artifacts,"updated prd",
bmm,2-planning,Créer l'UX,CU,30,skill:bmad-create-ux-design,bmad-bmm-create-ux-design,false,ux-designer,Create Mode,"Guidance pour réaliser le plan de votre UX, fortement recommandé si une UI est une pièce principale du projet proposé",planning_artifacts,"ux design",
bmm,3-solutioning,Concevoir l'architecture,CA,10,skill:bmad-create-architecture,bmad-bmm-create-architecture,true,architect,Create Mode,"Workflow guidé pour documenter les décisions techniques",planning_artifacts,architecture,
bmm,3-solutioning,Créer les thèmes/epics et cas d'usage,CE,30,skill:bmad-create-epics-and-stories,bmad-bmm-create-epics-and-stories,true,pm,Create Mode,"Créer la liste des thèmes/epics et cas d'usage",planning_artifacts,"epics and stories",
bmm,3-solutioning,Préparation à l'implémentation,IR,70,skill:bmad-check-implementation-readiness,bmad-bmm-check-implementation-readiness,true,architect,Validate Mode,"S'assurer que le cahier des charges l'UX l'architecture et les thèmes/epics et cas d'usage sont alignés",planning_artifacts,"readiness report",
bmm,4-implementation,Planification de sprint,SP,10,skill:bmad-sprint-planning,bmad-bmm-sprint-planning,true,sm,Create Mode,"Générer le plan de sprint pour les tâches de développement - cela lance la phase d'implémentation en produisant un plan que les agents d'implémentation suivront en séquence pour chaque cas d'usage dans le plan.",implementation_artifacts,"sprint status",
bmm,4-implementation,Statut du sprint,SS,20,skill:bmad-sprint-status,bmad-bmm-sprint-status,false,sm,Create Mode,"À tout moment : Résumer le statut du sprint et router vers le prochain workflow",,,
bmm,4-implementation,Valider le cas d'usage,VS,35,skill:bmad-create-story,bmad-bmm-create-story,false,sm,Validate Mode,"Valide la préparation et la complétude du cas d'usage avant que le travail de développement ne commence",implementation_artifacts,"story validation report",
bmm,4-implementation,Définir le cas d'usage,CS,30,skill:bmad-create-story,bmad-bmm-create-story,true,sm,Create Mode,"Début du cycle de cas d'usage : Préparer le premier cas d'usage trouvé dans le plan de sprint qui est le suivant, ou si la commande est exécutée avec une désignation spécifique de thème/epic et de cas d'usage avec contexte. Une fois terminé, puis VS puis DS puis CR puis retour à DS si nécessaire ou prochain CS ou ER",implementation_artifacts,story,
bmm,4-implementation,Développer le cas d'usage,DS,40,skill:bmad-dev-story,bmad-bmm-dev-story,true,dev,Create Mode,"Cycle de cas d'usage : Exécuter les tâches d'implémentation et les tests du cas d'usage puis CR puis retour à DS si des corrections sont nécessaires",,,
bmm,4-implementation,Revue de code,CR,50,skill:bmad-code-review,bmad-bmm-code-review,false,dev,Create Mode,"Cycle de cas d'usage : S'il y a des problèmes retour à DS, si approuvé alors prochain CS ou ER si le thème/epic est terminé",,,
bmm,4-implementation,Automatiser les tests QA,QA,45,skill:bmad-qa-generate-e2e-tests,bmad-bmm-qa-automate,false,qa,Create Mode,"Générer des tests automatisés API et E2E pour le code implémenté en utilisant le framework de test existant du projet (détecte les frameworks de test connus et utilisés). Utiliser après l'implémentation pour ajouter une couverture de test. NON destiné à la revue de code ou à la validation de cas d'usage - utiliser CR pour cela.",implementation_artifacts,"test suite",
bmm,4-implementation,Rétrospective du thème,ER,60,skill:bmad-retrospective,bmad-bmm-retrospective,false,sm,Create Mode,"Optionnel à la fin du thème/epic : Passer en revue le travail accompli les leçons apprises et le prochain thème/epic ou si problèmes majeurs envisager CC",implementation_artifacts,retrospective,